Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
busybox,library,Official,uclibc,2024-05-09T11:58:30Z,sha256:97d85ff9630b634ddff3e3ff69fd02bc3b69de8dba0c5002eb0ad6915d1bf4c0,758020,3264,10823567268,0001-01-01T00:00:00Z
busybox,library,Official,stable-uclibc,2024-05-09T11:58:28Z,sha256:97d85ff9630b634ddff3e3ff69fd02bc3b69de8dba0c5002eb0ad6915d1bf4c0,758020,3264,10823567268,0001-01-01T00:00:00Z
busybox,library,Official,1.36.1-uclibc,2024-05-09T11:58:10Z,sha256:97d85ff9630b634ddff3e3ff69fd02bc3b69de8dba0c5002eb0ad6915d1bf4c0,758020,3264,10823567268,0001-01-01T00:00:00Z
busybox,library,Official,1.36-uclibc,2024-05-09T11:57:59Z,sha256:97d85ff9630b634ddff3e3ff69fd02bc3b69de8dba0c5002eb0ad6915d1bf4c0,758020,3264,10823567268,0001-01-01T00:00:00Z
busybox,library,Official,1.35.0-uclibc,2024-05-09T11:57:48Z,sha256:e542fad2d2ef78afcad46b6522f8ab38a9863c6a4afa8bfa231194c1195caf31,754333,3264,10823567268,0001-01-01T00:00:00Z
ubuntu,library,Official,rolling,2024-05-02T01:39:34Z,sha256:3f85b7caad41a95462cf5b787d8a04604c8262cdcdf9a472b8c52ef83375fe15,28867545,17085,9153721936,0001-01-01T00:00:00Z
ubuntu,library,Official,noble-20240429,2024-05-02T01:39:33Z,sha256:3f85b7caad41a95462cf5b787d8a04604c8262cdcdf9a472b8c52ef83375fe15,28867545,17085,9153721936,0001-01-01T00:00:00Z
ubuntu,library,Official,noble,2024-05-02T01:39:30Z,sha256:3f85b7caad41a95462cf5b787d8a04604c8262cdcdf9a472b8c52ef83375fe15,28867545,17085,9153721936,0001-01-01T00:00:00Z
ubuntu,library,Official,mantic-20240427,2024-05-02T01:39:27Z,sha256:565d62d2283a7cc4b3d759d9a97a5bfcebeb341166f9076a4df504f8f106cd54,27234007,17085,9153721936,0001-01-01T00:00:00Z
ubuntu,library,Official,mantic,2024-05-02T01:39:24Z,sha256:565d62d2283a7cc4b3d759d9a97a5bfcebeb341166f9076a4df504f8f106cd54,27234007,17085,9153721936,0001-01-01T00:00:00Z
fedora,library,Official,rawhide,2024-05-03T01:05:27Z,sha256:7dfa0287e66691369cf8ba4a7be39c21af8e4663c3c9a854c5ebb221bfbb7947,79955811,1205,119210429,0001-01-01T00:00:00Z
fedora,library,Official,41,2024-05-03T01:05:22Z,sha256:7dfa0287e66691369cf8ba4a7be39c21af8e4663c3c9a854c5ebb221bfbb7947,79955811,1205,119210429,0001-01-01T00:00:00Z
fedora,library,Official,40,2024-05-03T01:05:19Z,sha256:5ce8497aeea599bf6b54ab3979133923d82aaa4f6ca5ced1812611b197c79eb0,80116543,1205,119210429,0001-01-01T00:00:00Z
fedora,library,Official,39,2024-05-03T01:05:15Z,sha256:ee042eb5527cfe117d279af0fff4461ad0c5441a8ef36deea9d98a2eb0130a90,64660672,1205,119210429,0001-01-01T00:00:00Z
fedora,library,Official,38,2024-05-03T01:05:11Z,sha256:b9ff6f23cceb5bde20bb1f79b492b98d71ef7a7ae518ca1b15b26661a11e6a94,66970486,1205,119210429,0001-01-01T00:00:00Z
registry,library,Official,3.0.0-alpha.1,2024-04-30T21:39:03Z,sha256:6d16c3cdf51df08bcf34aa5f76a474082197a049363c0399b00396d08837a0c8,14216053,3999,1646239763,0001-01-01T00:00:00Z
registry,library,Official,2.8.3,2024-04-30T21:38:42Z,sha256:4fac7a8257b1d7a86599043fcc181dfbdf9c8f57e337db763ac94b0e67c6cfb5,10100312,3999,1646239763,0001-01-01T00:00:00Z
registry,library,Official,2.8,2024-04-30T21:38:40Z,sha256:4fac7a8257b1d7a86599043fcc181dfbdf9c8f57e337db763ac94b0e67c6cfb5,10100312,3999,1646239763,0001-01-01T00:00:00Z
registry,library,Official,2,2024-04-30T21:38:35Z,sha256:4fac7a8257b1d7a86599043fcc181dfbdf9c8f57e337db763ac94b0e67c6cfb5,10100312,3999,1646239763,0001-01-01T00:00:00Z
registry,library,Official,2.8.2,2023-09-29T03:43:38Z,sha256:bcece5dd3d4b6189e13e7ac71b2ccbc2aae649365f0c589852d687efeba6b290,9595362,3999,1646239763,0001-01-01T00:00:00Z
debian,library,Official,unstable-slim,2024-05-14T01:51:16Z,sha256:1168b5db3ac36ac7dba548f4cc9d4a2bac856d1404000a07e936d2012d2820bb,31923017,5015,1265586327,0001-01-01T00:00:00Z
debian,library,Official,unstable-20240513-slim,2024-05-14T01:51:12Z,sha256:1168b5db3ac36ac7dba548f4cc9d4a2bac856d1404000a07e936d2012d2820bb,31923017,5015,1265586327,0001-01-01T00:00:00Z
debian,library,Official,unstable-20240513,2024-05-14T01:51:04Z,sha256:8ed6d6ce18c502a7c28ef51451d12508f664e19eca6fae7ed91dc4e8547bdf4c,52642894,5015,1265586327,0001-01-01T00:00:00Z
debian,library,Official,unstable,2024-05-14T01:51:00Z,sha256:8ed6d6ce18c502a7c28ef51451d12508f664e19eca6fae7ed91dc4e8547bdf4c,52642894,5015,1265586327,0001-01-01T00:00:00Z
debian,library,Official,trixie-slim,2024-05-14T01:50:53Z,sha256:bc76e69e746d00ee2dce40f25a88dcd6fb85e3988a609fb41af2f2c282c5230d,31920681,5015,1265586327,0001-01-01T00:00:00Z
cirros,library,Official,0.6.2,2024-04-18T20:56:18Z,sha256:51ef111e5a51258e85b82c81c9a5e9897b4c640a3eb3a4b7b9274656b95c0181,7415369,78,6665330,0001-01-01T00:00:00Z
cirros,library,Official,0.6,2024-04-18T20:56:16Z,sha256:51ef111e5a51258e85b82c81c9a5e9897b4c640a3eb3a4b7b9274656b95c0181,7415369,78,6665330,0001-01-01T00:00:00Z
cirros,library,Official,0,2024-04-18T20:56:13Z,sha256:51ef111e5a51258e85b82c81c9a5e9897b4c640a3eb3a4b7b9274656b95c0181,7415369,78,6665330,0001-01-01T00:00:00Z
cirros,library,Official,0.6.0,2023-06-01T18:29:45Z,sha256:73482da6f8ba8f1092f36b1d7909d725214813c304e764721fb75ba050865438,7396065,78,6665330,0001-01-01T00:00:00Z
cirros,library,Official,0.5.3,2023-06-01T18:29:32Z,sha256:637c1f87789ca77723b7571a03fd9126ced855de223b7ae3b2da38e6f8c70571,5963014,78,6665330,0001-01-01T00:00:00Z
buildpack-deps,library,Official,noble-scm,2024-05-22T23:59:28Z,sha256:47ebb9de9a029d0381efc89f2e05553c403d2850569cb88b6482057160efc3b9,89579571,669,232841993,0001-01-01T00:00:00Z
buildpack-deps,library,Official,noble-curl,2024-05-22T23:59:26Z,sha256:8a6126ff5fbb9bd03dd782858536df8af3edbbd61bd64d9fbb7db22ce5328a35,44143640,669,232841993,0001-01-01T00:00:00Z
buildpack-deps,library,Official,noble,2024-05-22T23:59:22Z,sha256:e475ee9430a13293244711aa5ba938d0b1e9d83fecdc02074457ddfff1a4e9a2,279595111,669,232841993,0001-01-01T00:00:00Z
buildpack-deps,library,Official,24.04-scm,2024-05-22T23:58:26Z,sha256:47ebb9de9a029d0381efc89f2e05553c403d2850569cb88b6482057160efc3b9,89579571,669,232841993,0001-01-01T00:00:00Z
buildpack-deps,library,Official,24.04-curl,2024-05-22T23:58:20Z,sha256:8a6126ff5fbb9bd03dd782858536df8af3edbbd61bd64d9fbb7db22ce5328a35,44143640,669,232841993,0001-01-01T00:00:00Z
