Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
busybox,library,Official,stable-musl,2024-06-03T23:59:12Z,sha256:ede585a46e84850ffa6e3331c53ac571fe71d9b1ba9299f7925b052985db3e7f,852608,3268,10928566261,0001-01-01T00:00:00Z,operating-systems
busybox,library,Official,stable-glibc,2024-06-03T23:59:09Z,sha256:25e9fcbd3799fce9c0ec978303d35dbb18a6ffb1fc76fc9b181dd4e657e2cd13,2152663,3268,10928566261,0001-01-01T00:00:00Z,operating-systems
busybox,library,Official,stable,2024-06-03T23:59:05Z,sha256:9ae97d36d26566ff84e8893c64a6dc4fe8ca6d1144bf5b87b2b85a32def253c7,2152663,3268,10928566261,0001-01-01T00:00:00Z,operating-systems
busybox,library,Official,musl,2024-06-03T23:59:02Z,sha256:ede585a46e84850ffa6e3331c53ac571fe71d9b1ba9299f7925b052985db3e7f,852608,3268,10928566261,0001-01-01T00:00:00Z,operating-systems
busybox,library,Official,glibc,2024-06-03T23:58:55Z,sha256:25e9fcbd3799fce9c0ec978303d35dbb18a6ffb1fc76fc9b181dd4e657e2cd13,2152663,3268,10928566261,0001-01-01T00:00:00Z,operating-systems
ubuntu,library,Official,rolling,2024-06-05T03:15:17Z,sha256:e3f92abc0967a6c19d0dfa2d55838833e947b9d74edbcb0113e48535ad4be12a,28872332,17101,9198152878,0001-01-01T00:00:00Z,operating-systems
ubuntu,library,Official,oracular-20240527,2024-06-05T03:15:15Z,sha256:1cb75bbc36738eec8f60ae12d71cd3a191bf4e6256f2fd5706bd8480257d0cee,29771141,17101,9198152878,0001-01-01T00:00:00Z,operating-systems
ubuntu,library,Official,oracular,2024-06-05T03:15:11Z,sha256:1cb75bbc36738eec8f60ae12d71cd3a191bf4e6256f2fd5706bd8480257d0cee,29771141,17101,9198152878,0001-01-01T00:00:00Z,operating-systems
ubuntu,library,Official,noble-20240530,2024-06-05T03:15:09Z,sha256:e3f92abc0967a6c19d0dfa2d55838833e947b9d74edbcb0113e48535ad4be12a,28872332,17101,9198152878,0001-01-01T00:00:00Z,operating-systems
ubuntu,library,Official,noble,2024-06-05T03:15:07Z,sha256:e3f92abc0967a6c19d0dfa2d55838833e947b9d74edbcb0113e48535ad4be12a,28872332,17101,9198152878,0001-01-01T00:00:00Z,operating-systems
fedora,library,Official,rawhide,2024-05-03T01:05:27Z,sha256:7dfa0287e66691369cf8ba4a7be39c21af8e4663c3c9a854c5ebb221bfbb7947,79955811,1205,119401663,0001-01-01T00:00:00Z,operating-systems
fedora,library,Official,41,2024-05-03T01:05:22Z,sha256:7dfa0287e66691369cf8ba4a7be39c21af8e4663c3c9a854c5ebb221bfbb7947,79955811,1205,119401663,0001-01-01T00:00:00Z,operating-systems
fedora,library,Official,40,2024-05-03T01:05:19Z,sha256:5ce8497aeea599bf6b54ab3979133923d82aaa4f6ca5ced1812611b197c79eb0,80116543,1205,119401663,0001-01-01T00:00:00Z,operating-systems
fedora,library,Official,39,2024-05-03T01:05:15Z,sha256:ee042eb5527cfe117d279af0fff4461ad0c5441a8ef36deea9d98a2eb0130a90,64660672,1205,119401663,0001-01-01T00:00:00Z,operating-systems
fedora,library,Official,38,2024-05-03T01:05:11Z,sha256:b9ff6f23cceb5bde20bb1f79b492b98d71ef7a7ae518ca1b15b26661a11e6a94,66970486,1205,119401663,0001-01-01T00:00:00Z,operating-systems
registry,library,Official,3.0.0-alpha.1,2024-04-30T21:39:03Z,sha256:6d16c3cdf51df08bcf34aa5f76a474082197a049363c0399b00396d08837a0c8,14216053,4001,1647756592,0001-01-01T00:00:00Z,databases-and-storage
registry,library,Official,2.8.3,2024-04-30T21:38:42Z,sha256:4fac7a8257b1d7a86599043fcc181dfbdf9c8f57e337db763ac94b0e67c6cfb5,10100312,4001,1647756592,0001-01-01T00:00:00Z,databases-and-storage
registry,library,Official,2.8,2024-04-30T21:38:40Z,sha256:4fac7a8257b1d7a86599043fcc181dfbdf9c8f57e337db763ac94b0e67c6cfb5,10100312,4001,1647756592,0001-01-01T00:00:00Z,databases-and-storage
registry,library,Official,2,2024-04-30T21:38:35Z,sha256:4fac7a8257b1d7a86599043fcc181dfbdf9c8f57e337db763ac94b0e67c6cfb5,10100312,4001,1647756592,0001-01-01T00:00:00Z,databases-and-storage
registry,library,Official,2.8.2,2023-09-29T03:43:38Z,sha256:bcece5dd3d4b6189e13e7ac71b2ccbc2aae649365f0c589852d687efeba6b290,9595362,4001,1647756592,0001-01-01T00:00:00Z,databases-and-storage
debian,library,Official,unstable-slim,2024-05-14T01:51:16Z,sha256:1168b5db3ac36ac7dba548f4cc9d4a2bac856d1404000a07e936d2012d2820bb,31923017,5019,1268471583,0001-01-01T00:00:00Z,operating-systems
debian,library,Official,unstable-20240513-slim,2024-05-14T01:51:12Z,sha256:1168b5db3ac36ac7dba548f4cc9d4a2bac856d1404000a07e936d2012d2820bb,31923017,5019,1268471583,0001-01-01T00:00:00Z,operating-systems
debian,library,Official,unstable-20240513,2024-05-14T01:51:04Z,sha256:8ed6d6ce18c502a7c28ef51451d12508f664e19eca6fae7ed91dc4e8547bdf4c,52642894,5019,1268471583,0001-01-01T00:00:00Z,operating-systems
debian,library,Official,unstable,2024-05-14T01:51:00Z,sha256:8ed6d6ce18c502a7c28ef51451d12508f664e19eca6fae7ed91dc4e8547bdf4c,52642894,5019,1268471583,0001-01-01T00:00:00Z,operating-systems
debian,library,Official,trixie-slim,2024-05-14T01:50:53Z,sha256:bc76e69e746d00ee2dce40f25a88dcd6fb85e3988a609fb41af2f2c282c5230d,31920681,5019,1268471583,0001-01-01T00:00:00Z,operating-systems
cirros,library,Official,0.6.2,2024-04-18T20:56:18Z,sha256:51ef111e5a51258e85b82c81c9a5e9897b4c640a3eb3a4b7b9274656b95c0181,7415369,78,6672966,0001-01-01T00:00:00Z,operating-systems
cirros,library,Official,0.6,2024-04-18T20:56:16Z,sha256:51ef111e5a51258e85b82c81c9a5e9897b4c640a3eb3a4b7b9274656b95c0181,7415369,78,6672966,0001-01-01T00:00:00Z,operating-systems
cirros,library,Official,0,2024-04-18T20:56:13Z,sha256:51ef111e5a51258e85b82c81c9a5e9897b4c640a3eb3a4b7b9274656b95c0181,7415369,78,6672966,0001-01-01T00:00:00Z,operating-systems
cirros,library,Official,0.6.0,2023-06-01T18:29:45Z,sha256:73482da6f8ba8f1092f36b1d7909d725214813c304e764721fb75ba050865438,7396065,78,6672966,0001-01-01T00:00:00Z,operating-systems
cirros,library,Official,0.5.3,2023-06-01T18:29:32Z,sha256:637c1f87789ca77723b7571a03fd9126ced855de223b7ae3b2da38e6f8c70571,5963014,78,6672966,0001-01-01T00:00:00Z,operating-systems
buildpack-deps,library,Official,noble-scm,2024-06-05T05:19:25Z,sha256:83787c9033f6651c6665db0b08a0f66857d74954c03f667d88a932cc46611171,89648725,669,233154088,0001-01-01T00:00:00Z,developer-tools
buildpack-deps,library,Official,noble-curl,2024-06-05T05:19:23Z,sha256:039da1e7ebbd5f7fc301722b4b0d18e3cd55456f908abaae07f28628ab61b35b,44175799,669,233154088,0001-01-01T00:00:00Z,developer-tools
buildpack-deps,library,Official,noble,2024-06-05T05:19:21Z,sha256:9f35d074ab95834d6be3e55f54306ebe6bc53bf79e68601b46a8ba7f8cd4adfd,279729402,669,233154088,0001-01-01T00:00:00Z,developer-tools
buildpack-deps,library,Official,mantic-scm,2024-06-05T05:19:18Z,sha256:16b936981452b9f44a0a58d93eed6d0a35006f36e6fe677bd073e94751c9b314,82727335,669,233154088,0001-01-01T00:00:00Z,developer-tools
