Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
convertigo,library,Official,8.2.7,2024-06-05T12:18:31Z,sha256:5c517a4e26b3aefd9fde337d71aeee60007c530c69930b87989f54d9a729e755,313942497,55,4249049,0001-01-01T00:00:00Z,languages-and-frameworks
convertigo,library,Official,8.2,2024-06-05T12:18:28Z,sha256:5c517a4e26b3aefd9fde337d71aeee60007c530c69930b87989f54d9a729e755,313942497,55,4249049,0001-01-01T00:00:00Z,languages-and-frameworks
convertigo,library,Official,8.2.5,2024-02-03T01:58:10Z,sha256:1a97faa31a270d42eb7df310647a0149c411daf7820a7a2fa2b0406427622a17,306823940,55,4249049,0001-01-01T00:00:00Z,languages-and-frameworks
convertigo,library,Official,8.2.4,2024-01-10T00:42:20Z,sha256:5a9efb215892f7a20ad813ab823b2973d1f8e9825d876980cfc885ddf6146a68,306796225,55,4249049,0001-01-01T00:00:00Z,languages-and-frameworks
convertigo,library,Official,8.1.0,2023-04-18T19:14:13Z,sha256:668566271809994e017f2d8cc4d76becbc254b15c72078e9af2270cc63ca8429,354903763,55,4249049,0001-01-01T00:00:00Z,languages-and-frameworks
flink,library,Official,1.18.1-scala_2.12-java17,2024-06-05T19:11:10Z,sha256:c6b1a97ea4d4151dc3afcb0a1969b77c565ceb644ee45630fe63b483a9f05cc2,577317712,422,88612802,0001-01-01T00:00:00Z,data-science
flink,library,Official,1.18.1-scala_2.12-java11,2024-06-05T19:11:09Z,sha256:eb130c147a1cf6d2e5ffc3a0f89f6e2e3e72f253e96cdab97d69a32002203b88,577247519,422,88612802,0001-01-01T00:00:00Z,data-science
flink,library,Official,1.18.1-scala_2.12,2024-06-05T19:11:08Z,sha256:eb130c147a1cf6d2e5ffc3a0f89f6e2e3e72f253e96cdab97d69a32002203b88,577247519,422,88612802,0001-01-01T00:00:00Z,data-science
flink,library,Official,1.18.1-java17,2024-06-05T19:11:06Z,sha256:c6b1a97ea4d4151dc3afcb0a1969b77c565ceb644ee45630fe63b483a9f05cc2,577317712,422,88612802,0001-01-01T00:00:00Z,data-science
flink,library,Official,1.18.1-java11,2024-06-05T19:11:05Z,sha256:eb130c147a1cf6d2e5ffc3a0f89f6e2e3e72f253e96cdab97d69a32002203b88,577247519,422,88612802,0001-01-01T00:00:00Z,data-science
swipl,library,Official,stable,2024-05-22T23:12:29Z,sha256:dfcca34d4c7215cf47fbeb0c4cbfb3a7c0793efef5dd31aa88143500641dc391,96523456,67,3073296,0001-01-01T00:00:00Z,languages-and-frameworks
swipl,library,Official,9.2.5,2024-05-22T23:12:23Z,sha256:dfcca34d4c7215cf47fbeb0c4cbfb3a7c0793efef5dd31aa88143500641dc391,96523456,67,3073296,0001-01-01T00:00:00Z,languages-and-frameworks
swipl,library,Official,9.3.6,2024-05-15T17:12:16Z,sha256:d267dabfcb638059c5ab12a7e32757c13dddc72605ce507dc029d74159be3bad,96639293,67,3073296,0001-01-01T00:00:00Z,languages-and-frameworks
swipl,library,Official,9.2.4,2024-05-15T02:12:15Z,sha256:3d5e9bdc6cfb77567ac0e5a55a990c2a5fd1306c37c98c8613ed7b296ae38f3b,96520643,67,3073296,0001-01-01T00:00:00Z,languages-and-frameworks
swipl,library,Official,9.3.2,2024-05-14T17:12:19Z,sha256:6777c951f9ced0bfe9f46380344f91be9c621c1bf5081c210b5cac836ac62f1d,96500101,67,3073296,0001-01-01T00:00:00Z,languages-and-frameworks
rust,library,Official,alpine3.20,2024-05-24T05:45:19Z,sha256:214477ec837f9bedd80be4b087fec09e3f270831979412840f3f6c38e5a0d9c1,276828594,982,84541863,0001-01-01T00:00:00Z,languages-and-frameworks
rust,library,Official,alpine,2024-05-24T05:45:17Z,sha256:214477ec837f9bedd80be4b087fec09e3f270831979412840f3f6c38e5a0d9c1,276828594,982,84541863,0001-01-01T00:00:00Z,languages-and-frameworks
rust,library,Official,1.78.0-alpine3.20,2024-05-24T05:45:00Z,sha256:214477ec837f9bedd80be4b087fec09e3f270831979412840f3f6c38e5a0d9c1,276828594,982,84541863,0001-01-01T00:00:00Z,languages-and-frameworks
rust,library,Official,1.78.0-alpine,2024-05-24T05:44:58Z,sha256:214477ec837f9bedd80be4b087fec09e3f270831979412840f3f6c38e5a0d9c1,276828594,982,84541863,0001-01-01T00:00:00Z,languages-and-frameworks
rust,library,Official,1.78-alpine3.20,2024-05-24T05:44:41Z,sha256:214477ec837f9bedd80be4b087fec09e3f270831979412840f3f6c38e5a0d9c1,276828594,982,84541863,0001-01-01T00:00:00Z,languages-and-frameworks
mediawiki,library,Official,stable-fpm-alpine,2024-06-07T03:58:00Z,sha256:9d4b75fbdd505c940d941983eafe65f9074f11cedeef135fab601aa073825003,176335238,548,44889121,0001-01-01T00:00:00Z,content-management-system
