Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
golang,library,Official,1.23rc1-bullseye,2024-06-04T23:25:18Z,sha256:08fb710ab1f56fd09bbfee3d3d23ee871016e6315bfeb8572f9be77837145652,191958199,4871,2169767338,0001-01-01T00:00:00Z,languages-and-frameworks
golang,library,Official,1.23rc1-bookworm,2024-06-04T23:25:17Z,sha256:3ffeec4bac0aa92e755ee49d3236a8426210a9c23fc87ad0e07f2c3e601f03bf,226429744,4871,2169767338,0001-01-01T00:00:00Z,languages-and-frameworks
golang,library,Official,1.23rc1-alpine3.20,2024-06-04T23:25:16Z,sha256:3c7d153d8ed8a78f7b76cc2ca4dd88c0f98b454e98e3b2a220e0d19dcfba94e0,191958199,4871,2169767338,0001-01-01T00:00:00Z,languages-and-frameworks
golang,library,Official,1.23rc1-alpine3.19,2024-06-04T23:24:50Z,sha256:08fb710ab1f56fd09bbfee3d3d23ee871016e6315bfeb8572f9be77837145652,191958199,4871,2169767338,0001-01-01T00:00:00Z,languages-and-frameworks
golang,library,Official,1.23rc1-alpine,2024-06-04T23:24:49Z,sha256:3ffeec4bac0aa92e755ee49d3236a8426210a9c23fc87ad0e07f2c3e601f03bf,226429744,4871,2169767338,0001-01-01T00:00:00Z,languages-and-frameworks
pypy,library,Official,3.9,2024-05-16T00:42:27Z,sha256:7b75adda8f3b5407d6fc8056e0415c006123de449d124d58159c2444cddc3523,2158810911,390,40032386,0001-01-01T00:00:00Z,languages-and-frameworks
pypy,library,Official,3.9-7.3.16,2024-05-16T00:42:26Z,sha256:b305b1f325b7ef7ff2811b1c5d4eaf987d6807db20047b2ce8d9aece2873b729,2225901425,390,40032386,0001-01-01T00:00:00Z,languages-and-frameworks
pypy,library,Official,3.9-7.3,2024-05-16T00:42:25Z,sha256:370b27bac5544b3ad148e24e43d6c40dde8c93dc628247fcff89e625cb45f244,2158810911,390,40032386,0001-01-01T00:00:00Z,languages-and-frameworks
pypy,library,Official,3.9-7,2024-05-16T00:42:16Z,sha256:ef8dc345f5d2e830e5a4da61f7451f273717c6a52bcfc130b60c6cee3047109c,2158733691,390,40032386,0001-01-01T00:00:00Z,languages-and-frameworks
pypy,library,Official,3.10-7.3.16,2024-05-16T00:42:15Z,sha256:c6222a1d47d84edc47dc017a7176527d44cd65d25bb499950bf21dc1fd711629,2225919483,390,40032386,0001-01-01T00:00:00Z,languages-and-frameworks
aerospike,library,Official,ee-7.1.0.2_1,2024-06-05T14:25:24Z,sha256:694e38302e2e370dbc22592546bca87ac10cfdd852aa380f6171c96186fd1552,81987572,144,17906309,0001-01-01T00:00:00Z,databases-and-storage
aerospike,library,Official,ee-7.1.0.2,2024-06-05T14:25:17Z,sha256:4dd7e0f2b18337ca856532e1da16e86c306a8c5b1184ce11c54616222e0b099c,78685761,144,17906309,0001-01-01T00:00:00Z,databases-and-storage
ros,library,Official,rolling-perception,2024-06-05T06:36:58Z,sha256:5a625fb6e0fc52fa035bad3c7440b9343b1b16a3584e1806d598ff3be732d092,157460105,638,27081439,0001-01-01T00:00:00Z,operating-systems
ros,library,Official,rolling,2024-06-05T06:36:54Z,sha256:5f04661331f7f5b8436131e062823706575533b394b56891bd9666ca5d878c6e,299756307,638,27081439,0001-01-01T00:00:00Z,operating-systems
ros,library,Official,jazzy-ros-core-noble,2024-06-05T06:36:53Z,sha256:5f04661331f7f5b8436131e062823706575533b394b56891bd9666ca5d878c6e,299756307,638,27081439,0001-01-01T00:00:00Z,operating-systems
ros,library,Official,jazzy-ros-core,2024-06-05T06:36:51Z,sha256:a87b57ce7b0bb0fcfe5faa58c8648fc08da53b1e46f0a8ac81ddc44798d65104,623792612,638,27081439,0001-01-01T00:00:00Z,operating-systems
docker,library,Official,27.0.2,2024-06-05T23:11:13Z,sha256:335394b4d218b9d69b02260b7919ef7595de36630f6106a78a3a99a6d6c07250,2170865718,2600,2980899991,0001-01-01T00:00:00Z,developer-tools
docker,library,Official,27.0.2-alpine3.20,2024-06-05T23:11:13Z,sha256:e06b073c5cb7e1cc6fd6102d0e56dc5cd19d9ca0b9a214274a30a11d777f84db,2238079428,2600,2980899991,0001-01-01T00:00:00Z,developer-tools
docker,library,Official,27.0.2-dind,2024-06-05T23:11:12Z,sha256:f63b7f4c754176432cb02b6df9b22363d006a10d4847a4e861c843c9d1e85480,2170865718,2600,2980899991,0001-01-01T00:00:00Z,developer-tools
docker,library,Official,27.0.2-dind-alpine3.20,2024-06-05T23:11:09Z,sha256:afcae59125a98a7416b9b4a767499fb1440e517f4092d3cdf2535c94f77f38dc,151831675,2600,2980899991,0001-01-01T00:00:00Z,developer-tools
