Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
fluent-bit,fluent,sponsored,3.0.7,2024-05-27T01:48:10Z,sha256:121fd619dd74825408006dd894cf9e20952069ad68956a95bfb9debc35959352,325,108,14427050361,0001-01-01T00:00:00Z,integration-and-delivery/internet-of-things/monitoring-and-observability
fluent-bit,fluent,sponsored,3.0.6,2024-05-27T01:48:09Z,sha256:16b5f6e92b6e551c8758639b47a659c0e9f82f33c1de2d94c1f5c2e933ebe4be,325,108,14427050361,0001-01-01T00:00:00Z,integration-and-delivery/internet-of-things/monitoring-and-observability
fluent-bit,fluent,sponsored,3.0.5,2024-05-27T01:48:07Z,sha256:7d3e2d7967a71625ab606116e796d2970fe49e865f3d6c57c43fc9380df61dcf,325,108,14427050361,0001-01-01T00:00:00Z,integration-and-delivery/internet-of-things/monitoring-and-observability
fluent-bit,fluent,sponsored,3.0,2024-05-27T01:54:14Z,sha256:121fd619dd74825408006dd894cf9e20952069ad68956a95bfb9debc35959352,2189497603,108,14427050361,0001-01-01T00:00:00Z,integration-and-delivery/internet-of-things/monitoring-and-observability
fluent-bit,fluent,sponsored,latest-debug,2024-05-27T01:48:06Z,sha256:d4f8efddc55e45a4c45a1eeb58207a848b41f4201bc529b22d4b3f4b796b8182,445270164,108,14427050361,0001-01-01T00:00:00Z,integration-and-delivery/internet-of-things/monitoring-and-observability
pilot,istio,sponsored,1.21.3,2024-06-04T21:46:31Z,sha256:d32ed23951b175b8b10d66cc05f71b8756061831da44e97ab51c05e9bc66a515,243,15,11452805606,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
pilot,istio,sponsored,1.22.1,2024-06-04T21:46:28Z,sha256:0f616a2e1d184a70abef2801fe91bb1ad0455386a4fdf43947ede6426b25b09b,243,15,11452805606,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
pilot,istio,sponsored,1.20.7,2024-06-04T21:46:26Z,sha256:943f8c0a40f58405af0d6b98ca937c6e4cbd097c372e0edf19a44738d0cbcd7c,243,15,11452805606,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
pilot,istio,sponsored,1.22.0,2024-06-04T21:43:16Z,sha256:4eb2620d0cd1c775d7c9963f29b177334cdfe560d99caeb8cdd3a1ac9d867533,486,15,11452805606,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
pilot,istio,sponsored,1.21.3-distroless,2024-06-04T21:46:24Z,sha256:8faf2dd73595841e775b8fdd741be9ad1af2a147c1afc5abc61a1282536cb8c3,25952652,15,11452805606,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
proxyv2,istio,sponsored,1.21.3,2024-06-04T21:46:03Z,sha256:2ebfb9f00ad2a09aed0b95eb902ab32750181c181fddadb64ac19a32e211df4a,245,16,11392921893,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
proxyv2,istio,sponsored,1.20.7,2024-06-04T21:46:01Z,sha256:4245376f070dbd9ffa2e63e43c3f0b2ac64e85e6d6844e6a6a15ba1974017108,245,16,11392921893,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
proxyv2,istio,sponsored,1.22.1,2024-06-04T21:45:57Z,sha256:57621adeb78e67c52e34ec1676d1ae898b252134838d60298c7446d0964551cc,245,16,11392921893,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
proxyv2,istio,sponsored,1.22.0,2024-06-04T21:44:19Z,sha256:5b1a4b45e1e5589f00dde00b724c16511f192e0174f7c3827d3d79f68e33c34b,245,16,11392921893,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
proxyv2,istio,sponsored,1.22.1-distroless,2024-06-04T21:45:54Z,sha256:62ca29ef14b13cdc135e4ca1f66b86ccaafbd604a3f564d58091fe00d753b9dc,56599918,16,11392921893,0001-01-01T00:00:00Z,monitoring-and-observability/networking/security
watchtower,containrrr,sponsored,latest-dev,2024-01-03T11:29:04Z,sha256:135de872db3b1a80befa2f7dd5ab85ff373dfb2c5e6741e28632c693fee2da12,10914187,1062,8127329988,0001-01-01T00:00:00Z,integration-and-delivery/monitoring-and-observability
watchtower,containrrr,sponsored,1.7.1,2023-11-11T18:52:12Z,sha256:6dd50763bbd632a83cb154d5451700530d1e44200b268a4e9488fefdfcf2b038,5633191,1062,8127329988,0001-01-01T00:00:00Z,integration-and-delivery/monitoring-and-observability
