Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
grafana,grafana,Verified,main-ubuntu,2024-06-03T10:27:00Z,sha256:b81f654d2e5f02313595bfeb749a24139018ec10db50527f6b96c6105a8a2faf,145481995,3063,4629830865,0001-01-01T00:00:00Z
grafana,grafana,Verified,main,2024-06-03T10:26:30Z,sha256:404bef16b08a78aca8226d7d9aa644d8b2e575cc827fd8983fc3ef9bf26430af,122683049,3063,4629830865,0001-01-01T00:00:00Z
grafana,grafana,Verified,latest-ubuntu,2024-05-26T12:14:04Z,sha256:dcd3ae78713958a862732c3608d32c03f0c279c35a2032d74b80b12c5cdc47b8,143493227,3063,4629830865,0001-01-01T00:00:00Z
grafana,grafana,Verified,11.0.0-ubuntu,2024-05-26T12:13:51Z,sha256:dcd3ae78713958a862732c3608d32c03f0c279c35a2032d74b80b12c5cdc47b8,143493227,3063,4629830865,0001-01-01T00:00:00Z
grafana,grafana,Verified,11.0.0,2024-05-26T12:13:25Z,sha256:0dc5a246ab16bb2c38a349fb588174e832b4c6c2db0981d0c3e6cd774ba66a54,120699297,3063,4629830865,0001-01-01T00:00:00Z
kubectl,bitnami,Verified,sha256-6b383654dba84f68c9603bec1fc891910ab8f4ee3f8b20b0e9492d1e3a2ec459,2024-05-15T15:00:58Z,sha256:57580198ad9da00ac01f04fc7ece72c1316d6308efba41746d33a587a20c1fd4,7967,114,3775919185,0001-01-01T00:00:00Z
kubectl,bitnami,Verified,1.27.14-debian-12-r1,2024-05-15T15:00:57Z,sha256:6b383654dba84f68c9603bec1fc891910ab8f4ee3f8b20b0e9492d1e3a2ec459,105767939,114,3775919185,0001-01-01T00:00:00Z
kubectl,bitnami,Verified,1.27.14,2024-05-15T15:00:57Z,sha256:6b383654dba84f68c9603bec1fc891910ab8f4ee3f8b20b0e9492d1e3a2ec459,105767939,114,3775919185,0001-01-01T00:00:00Z
kubectl,bitnami,Verified,1.27-debian-12,2024-05-15T15:00:56Z,sha256:6b383654dba84f68c9603bec1fc891910ab8f4ee3f8b20b0e9492d1e3a2ec459,105767939,114,3775919185,0001-01-01T00:00:00Z
