Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
grafana,grafana,verified,main-ubuntu,2024-06-06T16:35:55Z,sha256:245d755f28cf9d2e2a9567a2cc2855f19709b7a5d3129e3f39163e10d5dae2f4,145787849,3069,4633511576,0001-01-01T00:00:00Z,internet-of-things/monitoring-and-observability/security
grafana,grafana,verified,main,2024-06-06T16:35:20Z,sha256:b1f1d47f3268571a700a1d02e06179aaf5d8e3d860dccaaaa2fffd248f73483b,122997041,3069,4633511576,0001-01-01T00:00:00Z,internet-of-things/monitoring-and-observability/security
grafana,grafana,verified,latest-ubuntu,2024-05-26T12:14:04Z,sha256:dcd3ae78713958a862732c3608d32c03f0c279c35a2032d74b80b12c5cdc47b8,143493227,3069,4633511576,0001-01-01T00:00:00Z,internet-of-things/monitoring-and-observability/security
grafana,grafana,verified,11.0.0-ubuntu,2024-05-26T12:13:51Z,sha256:dcd3ae78713958a862732c3608d32c03f0c279c35a2032d74b80b12c5cdc47b8,143493227,3069,4633511576,0001-01-01T00:00:00Z,internet-of-things/monitoring-and-observability/security
grafana,grafana,verified,11.0.0,2024-05-26T12:13:25Z,sha256:0dc5a246ab16bb2c38a349fb588174e832b4c6c2db0981d0c3e6cd774ba66a54,120699297,3069,4633511576,0001-01-01T00:00:00Z,internet-of-things/monitoring-and-observability/security
kubectl,bitnami,verified,1.29.6-debian-12-r0,2024-06-05T05:05:53Z,sha256:c066cc9164a280ee862e9eccdd4dcee955586bb8f4ee058a5e6bbb6bc2f8e494,7967,114,3794918928,0001-01-01T00:00:00Z,developer-tools
kubectl,bitnami,verified,1.27.14-debian-12-r2,2024-06-05T05:05:52Z,sha256:95276c7786df8cc7aef7ed874b56084b1c7047858f82c2db0bca5f5f4eb5d9df,105801161,114,3794918928,0001-01-01T00:00:00Z,developer-tools
kubectl,bitnami,verified,1.27.14,2024-06-05T05:05:51Z,sha256:95276c7786df8cc7aef7ed874b56084b1c7047858f82c2db0bca5f5f4eb5d9df,105801161,114,3794918928,0001-01-01T00:00:00Z,developer-tools
kubectl,bitnami,verified,1.27-debian-12,2024-06-05T05:05:51Z,sha256:95276c7786df8cc7aef7ed874b56084b1c7047858f82c2db0bca5f5f4eb5d9df,105801161,114,3794918928,0001-01-01T00:00:00Z,developer-tools
kubectl,bitnami,verified,1.27,2024-06-05T05:05:51Z,sha256:95276c7786df8cc7aef7ed874b56084b1c7047858f82c2db0bca5f5f4eb5d9df,105801161,114,3794918928,0001-01-01T00:00:00Z,developer-tools
